node_seq	node_type	partition	call	depth	executions	calls_per_exec	host_us	device_us	region_us
0	CudfScan	0	(unattributed)	0	60	1.0	25	0	52095
0	CudfScan	0	cast	0	60	3.0	271	185	52095
0	CudfScan	0	read_parquet	0	60	1.0	51786	29537	52095
0	CudfScan	0	build_string_dict_indices	1	60	1.0	42	8	52095
0	CudfScan	0	copy_bitmask	1	60	3.0	47	21	52095
0	CudfScan	0	decode_page_headers	1	60	1.0	262	68	52095
0	CudfScan	0	decompress_page_data	1	60	2.0	25091	24859	52095
0	CudfScan	0	detect_malformed_pages	1	60	1.0	112	17	52095
0	CudfScan	0	make_strings_column	1	60	0.0	0	0	52095
0	CudfScan	0	mutable_view	1	60	3.0	1	0	52095
0	CudfScan	0	copy_bitmask	2	60	3.0	43	21	52095
0	CudfScan	0	sort_pages	2	60	1.0	88	31	52095
1	CudfFilter	0	(unattributed)	0	60	1.0	572	316	1747
1	CudfFilter	0	apply_boolean_mask	0	60	1.0	236	141	1747
1	CudfFilter	0	binary_operation	0	60	6.0	832	523	1747
1	CudfFilter	0	compute_column	0	60	1.0	63	180	1747
1	CudfFilter	0	copy_bitmask	0	60	5.0	45	23	1747
1	CudfFilter	0	make_strings_column	0	60	0.0	0	0	1747
1	CudfFilter	0	copy_bitmask	1	60	8.0	68	43	1747
1	CudfFilter	0	copy_if	1	60	1.0	235	141	1747
1	CudfFilter	0	make_fixed_width_column	1	60	4.0	24	5	1747
1	CudfFilter	0	make_numeric_column	1	60	0.0	0	0	1747
1	CudfFilter	0	mutable_view	1	60	7.0	1	0	1747
1	CudfFilter	0	allocate_like	2	60	4.0	10	0	1747
1	CudfFilter	0	copy_bitmask	2	60	3.0	25	20	1747
1	CudfFilter	0	make_numeric_column	2	60	4.0	23	5	1747
1	CudfFilter	0	make_strings_column	2	60	0.0	0	0	1747
1	CudfFilter	0	mutable_view	2	60	8.0	1	0	1747
1	CudfFilter	0	allocate_like	3	60	4.0	8	0	1747
1	CudfFilter	0	mutable_view	3	60	0.0	0	0	1747
2	CudfAggregate	0	(unattributed)	0	50	1.0	90	44	580
2	CudfAggregate	0	aggregate	0	50	1.0	355	158	580
2	CudfAggregate	0	binary_operation	0	50	1.0	117	42	580
2	CudfAggregate	0	copy_bitmask	0	50	2.0	14	4	580
2	CudfAggregate	0	make_fixed_width_column	0	50	1.0	2	0	580
2	CudfAggregate	0	mutable_view	0	50	1.0	0	0	580
2	CudfAggregate	0	allocate_like	1	50	2.0	5	0	580
2	CudfAggregate	0	bitmask_and	1	50	1.0	54	6	580
2	CudfAggregate	0	copy_bitmask	1	50	3.0	12	4	580
2	CudfAggregate	0	make_fixed_width_column	1	50	1.0	2	0	580
2	CudfAggregate	0	make_numeric_column	1	50	2.0	4	0	580
2	CudfAggregate	0	mutable_view	1	50	7.0	1	0	580
2	CudfAggregate	0	allocate_like	2	50	2.0	4	0	580
2	CudfAggregate	0	make_fixed_point_column	2	50	1.0	2	0	580
2	CudfCoalescePartitions	0	(unattributed)	0	10	1.0	4	0	182
2	CudfCoalescePartitions	0	concatenate	0	10	1.0	178	30	182
2	CudfCoalescePartitions	0	allocate_like	1	10	2.0	4	0	182
2	CudfCoalescePartitions	0	concatenate	1	10	2.0	159	27	182
2	CudfCoalescePartitions	0	mutable_view	1	10	2.0	0	0	182
2	CudfCoalescePartitions	0	create_strings_device_views	2	10	2.0	115	16	182
2	CudfCoalescePartitions	0	make_numeric_column	2	10	2.0	4	0	182
2	CudfCoalescePartitions	0	make_strings_column	2	10	2.0	0	0	182
2	CudfCoalescePartitions	0	mutable_view	2	10	2.0	0	0	182
3	CudfCoalescePartitions	0	(unattributed)	0	50	1.0	3	0	11
3	CudfCoalescePartitions	0	concatenate	0	50	1.0	8	2	11
3	CudfCoalescePartitions	0	allocate_like	1	50	1.0	2	0	11
3	CudfCoalescePartitions	0	mutable_view	1	50	1.0	0	0	11
3	CudfScan	0	(unattributed)	0	10	1.0	28	0	610982
3	CudfScan	0	cast	0	10	3.0	4257	4196	610982
3	CudfScan	0	read_parquet	0	10	1.0	606700	218038	610982
3	CudfScan	0	build_string_dict_indices	1	10	1.0	157	78	610982
3	CudfScan	0	copy_bitmask	1	10	3.0	50	76	610982
3	CudfScan	0	decode_page_headers	1	10	1.0	697	239	610982
3	CudfScan	0	decompress_page_data	1	10	2.0	73224	71661	610982
3	CudfScan	0	detect_malformed_pages	1	10	1.0	118	20	610982
3	CudfScan	0	make_numeric_column	1	10	1.0	4	0	610982
3	CudfScan	0	make_strings_column	1	10	2.0	1	0	610982
3	CudfScan	0	mutable_view	1	10	4.0	1	0	610982
3	CudfScan	0	copy_bitmask	2	10	3.0	45	76	610982
3	CudfScan	0	sort_pages	2	10	1.0	348	60	610982
4	CudfAggregate	0	(unattributed)	0	50	1.0	70	7	262
4	CudfAggregate	0	aggregate	0	50	1.0	188	40	262
4	CudfAggregate	0	make_fixed_width_column	0	50	1.0	2	0	262
4	CudfAggregate	0	mutable_view	0	50	1.0	0	0	262
4	CudfAggregate	0	allocate_like	1	50	2.0	4	0	262
4	CudfAggregate	0	copy_bitmask	1	50	1.0	1	0	262
4	CudfAggregate	0	make_fixed_width_column	1	50	1.0	2	0	262
4	CudfAggregate	0	make_numeric_column	1	50	2.0	4	0	262
4	CudfAggregate	0	mutable_view	1	50	5.0	1	0	262
4	CudfAggregate	0	allocate_like	2	50	2.0	4	0	262
4	CudfAggregate	0	make_fixed_point_column	2	50	1.0	2	0	262
4	CudfFilter	0	(unattributed)	0	10	1.0	20364	20010	58794
4	CudfFilter	0	apply_boolean_mask	0	10	1.0	2654	2427	58794
4	CudfFilter	0	binary_operation	0	10	17.0	35653	34714	58794
4	CudfFilter	0	copy_bitmask	0	10	16.0	121	218	58794
4	CudfFilter	0	make_strings_column	0	10	3.0	1	0	58794
4	CudfFilter	0	copy_bitmask	1	10	19.0	170	350	58794
4	CudfFilter	0	copy_if	1	10	1.0	2653	2427	58794
4	CudfFilter	0	make_fixed_width_column	1	10	8.0	55	62	58794
4	CudfFilter	0	make_numeric_column	1	10	3.0	7	0	58794
4	CudfFilter	0	mutable_view	1	10	20.0	3	0	58794
4	CudfFilter	0	allocate_like	2	10	4.0	10	0	58794
4	CudfFilter	0	copy_bitmask	2	10	9.0	79	205	58794
4	CudfFilter	0	make_numeric_column	2	10	10.0	58	62	58794
4	CudfFilter	0	make_strings_column	2	10	2.0	1	0	58794
4	CudfFilter	0	mutable_view	2	10	12.0	2	0	58794
4	CudfFilter	0	allocate_like	3	10	4.0	9	0	58794
4	CudfFilter	0	mutable_view	3	10	2.0	0	0	58794
5	CudfCoalescePartitions	0	(unattributed)	0	10	1.0	3	0	23
5	CudfCoalescePartitions	0	concatenate	0	10	1.0	20	5	23
5	CudfCoalescePartitions	0	allocate_like	1	10	1.0	2	0	23
5	CudfCoalescePartitions	0	mutable_view	1	10	1.0	0	0	23
5	CudfHashJoin	0	(unattributed)	0	10	1.0	1007	134	5864
5	CudfHashJoin	0	apply_boolean_mask	0	10	1.0	307	60	5864
5	CudfHashJoin	0	binary_operation	0	10	44.0	2976	551	5864
5	CudfHashJoin	0	compute_column	0	10	3.0	135	19	5864
5	CudfHashJoin	0	copy_bitmask	0	10	48.0	112	16	5864
5	CudfHashJoin	0	gather	0	10	2.0	285	65	5864
5	CudfHashJoin	0	inner_join	0	10	1.0	1035	826	5864
5	CudfHashJoin	0	make_strings_column	0	10	17.0	3	0	5864
5	CudfHashJoin	0	allocate_like	1	10	6.0	14	0	5864
5	CudfHashJoin	0	copy_bitmask	1	10	18.0	111	24	5864
5	CudfHashJoin	0	copy_if	1	10	1.0	307	60	5864
5	CudfHashJoin	0	hash_join	1	10	1.0	27	14	5864
5	CudfHashJoin	0	inner_join	1	10	1.0	864	810	5864
5	CudfHashJoin	0	make_fixed_width_column	1	10	26.0	98	20	5864
5	CudfHashJoin	0	make_numeric_column	1	10	17.0	35	0	5864
5	CudfHashJoin	0	make_strings_column	1	10	2.0	0	0	5864
5	CudfHashJoin	0	mutable_view	1	10	74.0	9	0	5864
5	CudfHashJoin	0	allocate_like	2	10	12.0	28	0	5864
5	CudfHashJoin	0	bitmask_and	2	10	1.0	1	0	5864
