# hbm_bytes per cuDF call, from an Nsight capture with GPU memory counters on.
# The coordinates are records.tsv's, and joining on all of them is the point:
#   this file's times are not usable — a capture costs the query ~7%, a heavy
#   scan ~11% — so it carries traffic, and the times come from a clean run.
# device_busy_us/device_idle_us are here as a reading of this capture, not as a
#   measurement to fit: idle inside a call is the device waiting through the host
#   prologue, and it says whether a thin sample count is a short call or a stalled one.
# samples = GPU metric samples inside the call. Under ~10 the integral is an
#   estimate from too few points; a reader should weight or drop those rows.
dataset	sf	query	mode	node_seq	node_type	lane	recipe_seq	recipe_kind	call_index	run_index	hbm_read_bytes	hbm_write_bytes	hbm_bytes	samples	device_busy_us	device_idle_us
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	0	0	0	0	1	1	75
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	0	0	0	0	1	0	11
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	0	0	0	0	0	19	0
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	0	12000000	0	12000000	12	370	200
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	0	0	0	0	0	0	14
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	0	19200000	7200000	26400000	10	110	374
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	0	302400000	223200000	525600000	107	1555	3768
tpch	40	q19	tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	0	7200000	9600000	16800000	4	28	188
tpch	40	q19	tp1-single	1	GpuFilter	0	1	CudfFilter	0	0	3108000000	1809600000	4917600000	158	4339	3599
tpch	40	q19	tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	0	801600000	900000000	1701600000	521	13239	12841
tpch	40	q19	tp1-single	4	GpuFilter	0	4	CudfFilter	0	0	71841600000	36302400000	108144000000	1096	53027	1753
tpch	40	q19	tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	0	20395200000	40924800000	61320000000	5294	190652	74043
tpch	40	q19	tp1-single	9	GpuUnload	0	10	result_from_handle	1	1	2400000	0	2400000	1	1	74
tpch	40	q19	tp1-single	8	GpuProject	0	10	CudfProject	0	1	2400000	0	2400000	1	0	12
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	1	0	0	0	0	19	0
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	1	14400000	0	14400000	11	373	196
tpch	40	q19	tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	1	0	0	0	0	0	15
tpch	40	q19	tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	1	19200000	12000000	31200000	10	112	381
tpch	40	q19	tp1-single	5	GpuHashJoin	0	5	CudfHashJoin{Inner}	0	1	232800000	146400000	379200000	112	1563	4049
